Lemma,Word_Type,Category,Primary_subcategory,Alt_split
(x)aaS,acr,style,abbreviation,"['something as a service', 'something as a service ((x)aaS)']"
ACCT,abbr,style,abbreviation,['account']
ADD,abbr,style,abbreviation,"['attention deficit disorder', 'attention deficit disorder (ADD)', 'easily bored', 'easily distracted', 'having a poor working memory']"
ADHD,abbr,style,abbreviation,"['attention deficit hyperactivity disorder', 'attention deficit hyperactivity disorder (ADHD)', 'person with attention deficit hyperactivity disorder', 'fidgety', 'restless', 'easily bored', 'people with attention deficit hyperactivity disorder']"
AIDA,acr,style,abbreviation,"['attention, interest, desire, action', 'attention, interest, desire, action (AIDA)']"
AJAX,acr,style,abbreviation,"['asynchronous JavaScript and XML', 'asynchronous JavaScript and eXtensible markup language (AJAX)']"
AKA,acr,style,abbreviation,['also known as']
AMP,acr,style,abbreviation,"['accelerated mobile pages', 'accelerated mobile pages (AMP)']"
AP,acr,style,abbreviation,"['accounts payable', 'accounts payable (AP)']"
AP/AR,acr,style,abbreviation,"['Accounts Payable/Receivable', 'Accounts Payable/Receivable (AP/AR)']"
API,acr,style,abbreviation,"['application program interface', 'application program interface (API)', 'application programming interface', 'application programming interface (API)']"
AR,acr,style,abbreviation,"['accounts receivable', 'accounts receivable (AR)']"
ARIA,acr,style,abbreviation,"['accessible rich internet applications', 'accessible rich internet applications (ARIA)']"
ARR,acr,style,abbreviation,"['annual recurring revenue', 'annual recurring revenue (ARR)']"
ASAP,acr,style,abbreviation,['As soon as possible']
ASD,abbr,style,abbreviation,"['autism spectrum disorder', 'autism spectrum disorder', 'autism spectrum disorder (ASD)', 'neurodiversity', 'person with autism spectrum disorder', 'difficulties with social interaction and communication', 'umbrella diagnosis that includes autistic disorder, childhood disintegrative disorder, some pervasive developmental disorders, and Asperger syndrome', 'people with autism spectrum disorder']"
ASL,abbr,style,abbreviation,"['American Sign Language', 'American Sign Language (ASL)']"
ATM,acr,style,abbreviation,['at the moment']
African queen,s,openly_discriminating,homophobia,['-']
Are you blind?,i,unconscious_bias,vision,"[""Don't you see?""]"
Aunt Jemima,s,openly_discriminating,racism,['-']
