Lemma,Word_Type,Category,Primary_subcategory,Sg_all_split,Pl_all_split,Alt_split
er,s,gendered,advanced_binary_pronouns,"['du', 'Sie', '((Vorname))', '((Vorname Nachname))', 'sie~er']",[],"['du', 'Sie', '((Vorname))', '((Vorname Nachname))', 'sie~er']"
ihm,~s,gendered,advanced_binary_pronouns,"['dir', 'Ihnen', '((Vorname))', '((Vorname Nachname))', 'ihr~ihm']",[],"['dir', 'Ihnen', '((Vorname))', '((Vorname Nachname))', 'ihr~ihm']"
ihn,~s,gendered,advanced_binary_pronouns,"['dich', 'Sie', '((Vorname))', '((Vorname Nachname))', 'sie~ihn']",[],"['dich', 'Sie', '((Vorname))', '((Vorname Nachname))', 'sie~ihn']"
ihr,~s,gendered,advanced_binary_pronouns,"['dir', 'dein', 'Ihnen', 'Ihr', 'Ihr', '((Vorname))', '((Vorname Nachname))', '((Vorname))s', '((Vorname Nachname))s', 'ihr~ihm']",[],"['dir', 'dein', 'Ihnen', 'Ihr', 'Ihr', '((Vorname))', '((Vorname Nachname))', '((Vorname))s', '((Vorname Nachname))s', 'ihr~ihm']"
ihre,~s,gendered,advanced_binary_pronouns,"['deine', 'Ihre', '((Vorname))s', '((Vorname Nachname))s', 'ihre~seine']",[],"['deine', 'Ihre', '((Vorname))s', '((Vorname Nachname))s', 'ihre~seine']"
ihrem,~s,gendered,advanced_binary_pronouns,"['deinem', 'Ihrem', '((Vorname))s', '((Vorname Nachname))s', 'ihrem~seinem']",[],"['deinem', 'Ihrem', '((Vorname))s', '((Vorname Nachname))s', 'ihrem~seinem']"
ihren,~s,gendered,advanced_binary_pronouns,"['deinen', 'Ihren', '((Vorname))s', '((Vorname Nachname))s', 'ihren~seinen']",[],"['deinen', 'Ihren', '((Vorname))s', '((Vorname Nachname))s', 'ihren~seinen']"
ihrer,~s,gendered,advanced_binary_pronouns,"['deiner', 'Ihrer', '((Vorname))s', '((Vorname Nachname))s', 'ihrer~seiner']",[],"['deiner', 'Ihrer', '((Vorname))s', '((Vorname Nachname))s', 'ihrer~seiner']"
ihres,~s,gendered,advanced_binary_pronouns,"['deines', 'Ihres', '((Vorname))s', '((Vorname Nachname))s', 'ihres~seines']",[],"['deines', 'Ihres', '((Vorname))s', '((Vorname Nachname))s', 'ihres~seines']"
sein,~s,gendered,advanced_binary_pronouns,"['dein', 'Ihr', '((Vorname))s', '((Vorname Nachname))s', 'ihr~sein']",[],"['dein', 'Ihr', '((Vorname))s', '((Vorname Nachname))s', 'ihr~sein']"
seine,~s,gendered,advanced_binary_pronouns,"['deine', 'Ihre', '((Vorname))s', '((Vorname Nachname))s', 'ihre~seine']",[],"['deine', 'Ihre', '((Vorname))s', '((Vorname Nachname))s', 'ihre~seine']"
seinem,~s,gendered,advanced_binary_pronouns,"['deinem', 'Ihrem', '((Vorname))s', '((Vorname Nachname))s', 'ihrem~seinem']",[],"['deinem', 'Ihrem', '((Vorname))s', '((Vorname Nachname))s', 'ihrem~seinem']"
seinen,~s,gendered,advanced_binary_pronouns,"['deinen', 'Ihren', '((Vorname))s', '((Vorname Nachname))s', 'ihren~seinen']",[],"['deinen', 'Ihren', '((Vorname))s', '((Vorname Nachname))s', 'ihren~seinen']"
seiner,~s,gendered,advanced_binary_pronouns,"['deiner', 'Ihrer', '((Vorname))s', '((Vorname Nachname))s', 'ihrer~seiner']",[],"['deiner', 'Ihrer', '((Vorname))s', '((Vorname Nachname))s', 'ihrer~seiner']"
seines,~s,gendered,advanced_binary_pronouns,"['deines', 'Ihres', '((Vorname))s', '((Vorname Nachname))s', 'ihres~seines']",[],"['deines', 'Ihres', '((Vorname))s', '((Vorname Nachname))s', 'ihres~seines']"
sie,s,gendered,advanced_binary_pronouns,"['du', 'Sie', 'dich', '((Vorname))', '((Vorname Nachname))', 'sie~er']",[],"['du', 'Sie', 'dich', '((Vorname))', '((Vorname Nachname))', 'sie~er']"
